"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Repo tests","Authentication repo integration tests","Sing in","0","0","3","0","0"
"Service tests","Authentication tests","Sign up","0","0","1","0","0"
"Repo tests","Post tests","Getting mailbox","0","0","2","0","0"
"Service tests","Authentication tests","Sign in","0","0","1","0","0"
"Repo tests","Authentication tests","Sign up","0","0","1","0","0"
"Repo tests","Post tests","Sending email","0","0","1","0","0"
"Service tests","Post tests","Getting mailbox","0","0","2","0","0"
"Repo tests","Authentication repo integration tests","Sing up","0","0","2","0","0"
"Service tests","Post tests","Sending email","0","0","1","0","0"
"Repo tests","Post repo integration tests","Getting mailboxes","0","0","1","0","0"
"Repo tests","Authentication tests","Sign in","0","0","1","0","0"
"Controller tests","Authentication tests","Sign up","0","0","1","0","0"
"Controller tests","Authentication tests","Sign in","0","0","1","0","0"
"Repo tests","Post repo integration tests","Sending email","0","0","1","0","0"
