"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 17 22:40:28 GMT 2022","Mon Jan 17 22:40:28 GMT 2022","1","","EmailListItem","","EmailListItem","rendering selected email","rendering selected email",""
"passed","Mon Jan 17 22:40:29 GMT 2022","Mon Jan 17 22:40:29 GMT 2022","3","","EmailDetails","","EmailDetails","no email","no email",""
"passed","Mon Jan 17 22:40:29 GMT 2022","Mon Jan 17 22:40:29 GMT 2022","3","","EmailDetails","","EmailDetails","render email","render email",""
"passed","Mon Jan 17 22:40:27 GMT 2022","Mon Jan 17 22:40:27 GMT 2022","9","","App","","App","updating mailboxes after write","updating mailboxes after write",""
"passed","Mon Jan 17 22:40:27 GMT 2022","Mon Jan 17 22:40:27 GMT 2022","26","","App","","App","initial render","initial render",""
"passed","Mon Jan 17 22:46:03 GMT 2022","Mon Jan 17 22:46:05 GMT 2022","1322","","e2e/app.spec.js","","","","Sending message for new user",""
"passed","Mon Jan 17 22:40:28 GMT 2022","Mon Jan 17 22:40:28 GMT 2022","1","","getEmailTime","","getEmailTime","return correct time from timestamp","return correct time from timestamp",""
"passed","Mon Jan 17 22:41:49 GMT 2022","Mon Jan 17 22:41:49 GMT 2022","153","","com.example.server.repo.PostgresPostRepoTest","","com.example.server.repo.PostgresPostRepoTest","testGettingInbox","Getting inbox",""
"passed","Mon Jan 17 22:40:28 GMT 2022","Mon Jan 17 22:40:28 GMT 2022","1","","toInternalEmail","","toInternalEmail","return inbox email","return inbox email",""
"passed","Mon Jan 17 22:40:28 GMT 2022","Mon Jan 17 22:40:28 GMT 2022","1","","LoginPage","","LoginPage","failed Sign in via form","failed Sign in via form",""
"passed","Mon Jan 17 22:40:28 GMT 2022","Mon Jan 17 22:40:28 GMT 2022","6","","EmailEditor","","EmailEditor","display correct data","display correct data",""
"passed","Mon Jan 17 22:42:31 GMT 2022","Mon Jan 17 22:42:31 GMT 2022","7","","com.example.server.service.DBPostServiceTest","","com.example.server.service.DBPostServiceTest","testGettingInbox","Getting inbox",""
"passed","Mon Jan 17 22:42:30 GMT 2022","Mon Jan 17 22:42:30 GMT 2022","9","","com.example.server.service.DBAuthenticationServiceTest","","com.example.server.service.DBAuthenticationServiceTest","testRegister","Signing up with same credentials twice",""
"passed","Mon Jan 17 22:42:31 GMT 2022","Mon Jan 17 22:42:31 GMT 2022","142","","com.example.server.service.DBPostServiceTest","","com.example.server.service.DBPostServiceTest","testSendingEmail","Correctly filling id and time and sending email",""
"passed","Mon Jan 17 22:42:11 GMT 2022","Mon Jan 17 22:42:14 GMT 2022","2380","","com.example.server.repo.PostgresAuthenticationRepoIntegrationTest","","com.example.server.repo.PostgresAuthenticationRepoIntegrationTest","testLoginAfterRegistration","Login after registration",""
"passed","Mon Jan 17 22:40:28 GMT 2022","Mon Jan 17 22:40:28 GMT 2022","1","","getEmailDate","","getEmailDate","return correct date from timestamp","return correct date from timestamp",""
"passed","Mon Jan 17 22:42:21 GMT 2022","Mon Jan 17 22:42:23 GMT 2022","2364","","com.example.server.repo.PostgresPostRepoIntegrationTest","","com.example.server.repo.PostgresPostRepoIntegrationTest","testSendingEmail","Sending single email","Sending single email and checking its presence in database"
"passed","Mon Jan 17 22:40:29 GMT 2022","Mon Jan 17 22:40:29 GMT 2022","3","","Sidebar","","Sidebar","clicking write","clicking write",""
"passed","Mon Jan 17 22:40:28 GMT 2022","Mon Jan 17 22:40:28 GMT 2022","3","","LoginPage","","LoginPage","correct authentication via Sign up button","correct authentication via Sign up button",""
"passed","Mon Jan 17 22:40:29 GMT 2022","Mon Jan 17 22:40:29 GMT 2022","4","","EmailList","","EmailList","non-empty list","non-empty list",""
